<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.01	7170.00	7237.78	7144.28	7178.98	82361	0	0
2020.01.02	7179.00	7187.27	6900.59	6948.27	83312	0	0
2020.01.03	6948.31	7401.21	6850.08	7335.89	84501	0	0
2020.01.04	7336.26	7392.38	7264.10	7343.15	82495	0	0
2020.01.05	7342.99	7485.26	7306.86	7350.96	82886	0	0
2020.01.06	7351.00	7788.99	7340.70	7748.85	83624	0	0
2020.01.07	7749.01	8194.27	7711.92	8146.92	84704	0	0
2020.01.08	8146.42	8448.21	7859.45	8035.66	85670	0	0
2020.01.09	8035.44	8035.44	7733.96	7802.75	84640	0	0
2020.01.10	7802.62	8182.53	7663.97	8181.07	85167	0	0
2020.01.11	8182.75	8272.11	7990.09	8013.30	84200	0	0
2020.01.12	8011.36	8172.88	7945.13	8168.05	83532	0	0
2020.01.13	8168.53	8184.64	8036.90	8096.74	83511	0	0
2020.01.14	8098.21	8872.10	8093.81	8799.34	86148	0	0
2020.01.15	8796.67	8889.26	8546.28	8800.06	85063	0	0
2020.01.16	8800.22	8842.95	8573.76	8705.90	84255	0	0
2020.01.17	8705.78	9001.67	8653.55	8882.11	84522	0	0
2020.01.18	8881.83	8967.15	8793.63	8896.32	83813	0	0
2020.01.19	8894.03	9167.84	8469.28	8689.14	84832	0	0
2020.01.20	8688.29	8728.74	8502.43	8625.80	83833	0	0
2020.01.21	8625.88	8761.01	8481.61	8717.21	83823	0	0
2020.01.22	8717.41	8784.00	8562.80	8655.92	83604	0	0
2020.01.23	8655.95	8660.09	8273.11	8376.04	84392	0	0
2020.01.24	8376.40	8506.71	8213.03	8419.59	84177	0	0
2020.01.25	8419.69	8429.32	8254.15	8319.22	83359	0	0
2020.01.26	8319.46	8594.28	8271.58	8593.46	83796	0	0
2020.01.27	8593.78	8987.03	8549.48	8889.69	84365	0	0
2020.01.28	8889.72	9404.71	8877.07	9378.70	85055	0	0
2020.01.29	9378.89	9424.98	9217.20	9281.62	84389	0	0
2020.01.30	9282.48	9555.35	9178.11	9495.76	84859	0	0
2020.01.31	9496.21	9512.53	9191.29	9331.77	84755	0	0
2020.02.01	9331.91	9449.82	9280.39	9373.55	84351	0	0
2020.02.02	9373.54	9466.26	9125.43	9320.36	66096	0	0
2020.02.03	9322.05	9594.06	9215.86	9274.25	84913	0	0
2020.02.04	9274.62	9338.71	9071.52	9162.91	84544	0	0
2020.02.05	9163.16	9746.82	9141.62	9600.42	84674	0	0
2020.02.06	9600.32	9846.40	9515.47	9744.62	84942	0	0
2020.02.07	9744.43	9857.82	9693.75	9795.36	84433	0	0
2020.02.08	9795.70	9931.73	9641.04	9881.78	84403	0	0
2020.02.09	9881.52	10159.76	9866.72	10146.19	83856	0	0
2020.02.10	10146.24	10178.73	9728.16	9840.72	84990	0	0
2020.02.11	9840.79	10360.07	9701.49	10251.92	83531	0	0
2020.02.12	10251.84	10452.48	10237.79	10335.39	84794	0	0
2020.02.13	10335.49	10483.92	10068.81	10222.82	85867	0	0
2020.02.14	10222.73	10371.89	10098.54	10347.18	84532	0	0
2020.02.15	10347.19	10370.77	9757.18	9897.09	84906	0	0
2020.02.16	9897.27	10035.10	9611.45	9914.43	85462	0	0
2020.02.17	9911.35	9960.82	9467.72	9700.45	86184	0	0
2020.02.18	9700.77	10270.79	9605.78	10178.64	85519	0	0
2020.02.19	10179.24	10290.39	9292.78	9580.39	85841	0	0
2020.02.20	9578.08	9682.72	9386.08	9599.34	85773	0	0
2020.02.21	9599.63	9760.00	9563.30	9689.68	85300	0	0
2020.02.22	9689.77	9716.35	9540.69	9658.31	84990	0	0
2020.02.23	9658.55	10004.14	9653.20	9962.54	85283	0	0
2020.02.24	9962.21	10021.47	9474.74	9655.47	86441	0	0
2020.02.25	9655.90	9673.95	9226.65	9302.84	86148	0	0
2020.02.26	9303.12	9365.85	8637.20	8775.22	87423	0	0
2020.02.27	8776.68	8965.02	8527.60	8812.67	86700	0	0
2020.02.28	8812.87	8897.44	8434.99	8705.27	86749	0	0
2020.02.29	8703.60	8800.33	8520.74	8524.32	85529	0	0
2020.03.01	8524.59	8750.12	8394.34	8523.44	85872	0	0
2020.03.02	8524.85	8973.65	8494.84	8915.58	85710	0	0
2020.03.03	8916.57	8924.89	8657.91	8759.26	86176	0	0
2020.03.04	8759.39	8849.37	8674.50	8761.82	85230	0	0
2020.03.05	8761.92	9169.10	8761.05	9063.51	85670	0	0
2020.03.06	9063.88	9178.84	8992.81	9155.21	85151	0	0
2020.03.07	9154.96	9211.70	8854.99	8894.65	85119	0	0
2020.03.08	8894.44	8894.44	7982.94	8039.63	77634	0	0
2020.03.09	8038.96	8179.94	7626.97	7933.86	90359	0	0
2020.03.10	7934.31	8156.39	7735.04	7894.81	87798	0	0
2020.03.11	7894.83	7986.64	7587.74	7938.90	87295	0	0
2020.03.12	7938.84	7970.29	4675.58	4862.26	112830	0	0
2020.03.13	4865.77	5973.58	3900.68	5620.70	119129	0	0
2020.03.14	5620.06	5654.69	5047.55	5161.84	99583	0	0
2020.03.15	5162.54	5961.30	5092.10	5354.65	99232	0	0
2020.03.16	5354.72	5358.87	4438.45	5039.43	111421	0	0
2020.03.17	5038.90	5557.44	4938.91	5329.94	101634	0	0
