<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	0.70135	0.70188	0.69779	0.69825	13726	0	0
2020.01.03	0.69824	0.69856	0.69296	0.69528	16112	0	0
2020.01.05	0.69403	0.69429	0.69322	0.69425	983	0	0
2020.01.06	0.69424	0.69569	0.69247	0.69360	14919	0	0
2020.01.07	0.69361	0.69383	0.68495	0.68579	17036	0	0
2020.01.08	0.68583	0.68844	0.68484	0.68734	21457	0	0
2020.01.09	0.68739	0.68796	0.68496	0.68525	13392	0	0
2020.01.10	0.68526	0.69098	0.68499	0.69052	14350	0	0
2020.01.12	0.68963	0.69040	0.68942	0.68991	682	0	0
2020.01.13	0.68991	0.69189	0.68939	0.68964	13841	0	0
2020.01.14	0.68965	0.69085	0.68844	0.68938	15137	0	0
2020.01.15	0.68938	0.69159	0.68767	0.69062	13963	0	0
2020.01.16	0.69064	0.69329	0.68872	0.68974	13769	0	0
2020.01.17	0.68975	0.69102	0.68714	0.68754	12394	0	0
2020.01.19	0.68713	0.68813	0.68713	0.68805	678	0	0
2020.01.20	0.68805	0.68877	0.68544	0.68747	10092	0	0
2020.01.21	0.68748	0.68796	0.68409	0.68459	14889	0	0
2020.01.22	0.68462	0.68553	0.68263	0.68406	13851	0	0
2020.01.23	0.68406	0.68779	0.68288	0.68412	17084	0	0
2020.01.24	0.68476	0.68563	0.68172	0.68215	13081	0	0
2020.01.26	0.68104	0.68146	0.68005	0.68006	1206	0	0
2020.01.27	0.68006	0.68162	0.67517	0.67607	14680	0	0
2020.01.28	0.67609	0.67642	0.67365	0.67629	14203	0	0
2020.01.29	0.67630	0.67765	0.67346	0.67515	14684	0	0
2020.01.30	0.67521	0.67526	0.66994	0.67044	18089	0	0
2020.01.31	0.67046	0.67287	0.66821	0.66930	16501	0	0
2020.02.02	0.66835	0.66942	0.66830	0.66917	1253	0	0
2020.02.03	0.66919	0.67062	0.66833	0.66890	16682	0	0
2020.02.04	0.66889	0.67409	0.66776	0.67305	17326	0	0
2020.02.05	0.67305	0.67734	0.67234	0.67507	16782	0	0
2020.02.06	0.67506	0.67640	0.67265	0.67307	14622	0	0
2020.02.07	0.67308	0.67310	0.66617	0.66726	15245	0	0
2020.02.09	0.66655	0.66773	0.66655	0.66695	1177	0	0
2020.02.10	0.66695	0.67065	0.66674	0.66889	15287	0	0
2020.02.11	0.66888	0.67359	0.66808	0.67177	14128	0	0
2020.02.12	0.67178	0.67490	0.67075	0.67125	14639	0	0
2020.02.13	0.67124	0.67443	0.67085	0.67181	15855	0	0
2020.02.14	0.67182	0.67304	0.67087	0.67118	11351	0	0
2020.02.16	0.67197	0.67283	0.67157	0.67249	816	0	0
2020.02.17	0.67249	0.67326	0.67062	0.67089	9250	0	0
2020.02.18	0.67089	0.67089	0.66732	0.66928	13367	0	0
2020.02.19	0.66931	0.67065	0.66647	0.66802	12422	0	0
